"type","count","severity"
"ACCOUNT_OPERATORS_MEMBER","20","high"
"ACL_COMPUTER_WRITE_VALIDATED_DNS","1","medium"
"ACL_DS_REPLICATION_GET_CHANGES","1","critical"
"ACL_FORCECHANGEPASSWORD","3","medium"
"ACL_GENERICALL","790","high"
"ACL_SELF_MEMBERSHIP","790","high"
"ACL_USER_FORCE_CHANGE_PASSWORD","3","medium"
"ACL_WRITE_PROPERTY_EXTENDED","90","medium"
"ACL_WRITEDACL","790","high"
"ACL_WRITEOWNER","790","high"
"ADMIN_ASREP_ROASTABLE","16","critical"
"ADMIN_COUNT_ORPHANED","15","medium"
"ADMIN_NO_SMARTCARD","55","medium"
"ADMINSDHOLDER_BACKDOOR","1","medium"
"ASREP_ROASTING_RISK","25","critical"
"BACKUP_OPERATORS_MEMBER","20","high"
"BUILTIN_MODIFIED","4","high"
"COMPUTER_ACL_ABUSE","95","high"
"COMPUTER_ADMIN_COUNT","5","low"
"COMPUTER_DESCRIPTION_SENSITIVE","21","medium"
"COMPUTER_DISABLED_NOT_DELETED","0","medium"
"COMPUTER_IN_ADMIN_GROUP","5","critical"
"COMPUTER_LEGACY_PROTOCOL","12","medium"
"COMPUTER_NEVER_LOGGED_ON","69","medium"
"COMPUTER_NO_BITLOCKER","13","high"
"COMPUTER_NO_LAPS","1","medium"
"COMPUTER_OS_OBSOLETE_2003","3","critical"
"COMPUTER_OS_OBSOLETE_2008","1","high"
"COMPUTER_OS_OBSOLETE_VISTA","2","high"
"COMPUTER_OS_OBSOLETE_XP","4","critical"
"COMPUTER_PASSWORD_OLD","0","high"
"COMPUTER_PRE_CREATED","24","medium"
"COMPUTER_RBCD","3","critical"
"COMPUTER_UNCONSTRAINED_DELEGATION","7","critical"
"COMPUTER_WEAK_ENCRYPTION","10","medium"
"COMPUTER_WITH_SPNS","18","high"
"COMPUTER_WRONG_OU","1","medium"
"CONSTRAINED_DELEGATION","1","high"
"DANGEROUS_BUILTIN_MEMBERSHIP","4","medium"
"DANGEROUS_GROUP_NESTING","3","medium"
"DISABLED_ACCOUNT_IN_ADMIN_GROUP","2","high"
"DNS_ADMINS_MEMBER","4","high"
"DOMAIN_ADMIN_IN_DESCRIPTION","29","high"
"ESC1_VULNERABLE_TEMPLATE","1","high"
"ESC1_VULNERABLE_TEMPLATE","4","critical"
"ESC10_WEAK_CERTIFICATE_MAPPING","0","high"
"ESC11_ICERT_REQUEST_ENFORCEMENT","1","medium"
"ESC2_ANY_PURPOSE","3","high"
"ESC2_ANY_PURPOSE","3","high"
"ESC3_ENROLLMENT_AGENT","4","high"
"ESC3_ENROLLMENT_AGENT","4","high"
"ESC4_VULNERABLE_TEMPLATE_ACL","0","critical"
"ESC5_PKI_OBJECT_ACL","0","medium"
"ESC6_EDITF_FLAG","0","high"
"ESC7_CA_VULNERABLE_ACL","0","high"
"ESC8_HTTP_ENROLLMENT","0","medium"
"ESC9_NO_SECURITY_EXTENSION","16","high"
"EVERYONE_IN_ACL","790","medium"
"EXCESSIVE_PRIVILEGED_ACCOUNTS","45","medium"
"EXPIRED_ACCOUNT_IN_ADMIN_GROUP","3","high"
"GPO_LINK_POISONING","1","medium"
"GPO_MODIFY_RIGHTS","12","high"
"GPO_MODIFY_RIGHTS","0","high"
"GPO_ORPHANED","7","medium"
"GPO_UNLINKED","1","low"
"GPO_WEAK_PASSWORD_POLICY","1","medium"
"GPO_WEAK_PERMISSIONS","6","medium"
"GROUP_EXCESSIVE_MEMBERS","6","medium"
"GROUP_EXCESSIVE_MEMBERS","3","medium"
